issue_no,date,comment
526,1979-09-14,
527,1979-10-01,
528,1979-10-05,
529,1979-10-12,
530,1979-10-19,
531,1979-10-26,
532,1979-11-02,
533,1979-11-09,
534,1979-11-16,
535,1979-11-23,
536,1979-11-30,
537,1979-12-07,
538,1979-12-14,
539,1980-01-14,
540,1980-01-18,
541,1980-01-25,
542,1980-02-01,
543,1980-02-08,
544,1980-02-15,
545,1980-02-22,
546,1980-02-29,
547,1980-03-07,
548,1980-03-14,
549,1980-03-21,
550,1980-04-25,
551,1980-05-02,
552,1980-05-09,
553,1980-05-16,
554,1980-05-23,
555,1980-05-30,
556,1980-06-06,
557,1980-06-13,
558,1980-06-20,
559,1980-08-22,
560,1980-09-29,
561,1980-10-03,
562,1980-10-10,
563,1980-10-17,
564,1980-10-24,
565,1980-10-31,
566,1980-11-07,
567,1980-11-14,
568,1980-11-21,
569,1980-11-28,
570,1980-12-05,
571,1980-12-12,
572,1981-01-09,
573,1981-01-16,
574,1981-01-30,
575,1981-02-06,
576,1981-02-13,
577,1981-02-20,
578,1981-02-27,
579,1981-03-06,
580,1981-03-13,
581,1981-03-20,
582,1981-05-01,
583,1981-05-08,
584,1981-05-15,
585,1981-05-22,
586,1981-05-29,
587,1981-06-05,
588,1981-06-19,
589,1981-08-07,
590,1981-10-05,
591,1981-10-09,
592,1981-10-16,
593,1981-10-23,
594,1981-10-30,
595,1981-11-06,
596,1981-11-13,
597,1981-11-20,
598,1981-11-27,
599,1981-12-04,
600,1981-12-18,
601,1982-01-15,
602,1982-01-22,
603,1982-01-29,
604,1982-02-05,
605,1982-02-12,
606,1982-02-19,
607,1982-02-26,
608,1982-03-05,
609,1982-03-12,
610,1982-03-19,
611,1982-03-26,
612,1982-04-30,
613,1982-05-07,
614,1982-05-14,
615,1982-05-21,
616,1982-05-28,
617,1982-06-04,
618,1982-06-18,
619,1982-07-30,
620,1982-08-20,
621,1982-10-04,
622,1982-10-08,
623,1982-10-15,
624,1982-10-22,
625,1982-10-29,
626,1982-11-05,
627,1982-11-12,
628,1982-11-19,
629,1982-11-26,
630,1982-12-03,
631,1982-12-14,
632,1983-01-14,
633,1983-01-21,
635,1983-02-04,
636,1983-02-11,
637,1983-02-18,
638,1983-02-25,
639,1983-03-04,
640,1983-03-11,
641,1983-03-23,
642,1983-04-29,
643,1983-05-06,
644,1983-05-13,
645,1983-05-20,
646,1983-05-27,
647,1983-06-03,
648,1983-06-10,
649,1983-06-16,
650,1983-08-05,
651,1983-10-03,
652,1983-10-07,
653,1983-10-14,
654,1983-10-21,
655,1983-10-28,
656,1983-11-04,
657,1983-11-11,
658,1983-11-18,
659,1983-11-25,
660,1983-12-02,
661,1983-12-14,
662,1984-01-13,
663,1984-01-20,
664,1984-01-27,
665,1984-02-03,
666,1984-02-10,
667,1984-02-17,
668,1984-02-24,
669,1984-03-02,
670,1984-03-09,
671,1984-03-21,
672,1984-05-04,
673,1984-05-11,
674,1984-05-18,
675,1984-05-25,
676,1984-06-01,
677,1984-06-08,
678,1984-06-15,? Not shown on paper. 15/6 is guess due to schedule
679,1984-08-17,
680,1984-10-01,
681,1984-10-05,
682,1984-10-12,
683,1984-10-19,
684,1984-10-26,
685,1984-11-02,
686,1984-11-09,
687,1984-11-16,
688,1984-11-23,
689,1984-11-30,
690,1984-12-12,
691,1985-01-11,
692,1985-01-18,
693,1985-01-25,
694,1985-02-01,
695,1985-02-08,
696,1985-02-15,
697,1985-02-22,
698,1985-03-01,
699,1985-03-08,
700,1985-03-20,
701,1985-04-26,
702,1985-05-03,
703,1985-05-10,
704,1985-05-17,
705,1985-05-24,
706,1985-05-31,
707,1985-06-07,
708,1985-06-19,
709,1985-06-26,
710,1985-07-12,
711,1985-07-26,
712,1985-08-09,
713,1985-09-13,
714,1985-09-30,
715,1985-10-04,
716,1985-10-11,
717,1985-10-18,
718,1985-10-25,
719,1985-11-01,
720,1985-11-08,
721,1985-11-15,
722,1985-11-22,
723,1985-11-29,
724,1985-12-11,
725,1986-01-11,
726,1986-01-17,
728,1986-01-24,
729,1986-01-31,
730,1986-02-07,
731,1986-02-14,
732,1986-02-17,
733,1986-02-28,
734,1986-03-07,
735,1986-03-12,
736,1986-03-19,
737,1986-04-25,
738,1986-05-02,
739,1986-05-09,
740,1986-05-16,
741,1986-05-23,
742,1986-05-30,
743,1986-06-06,
744,1986-06-16,
745,1986-08-01,
746,1986-09-05,
747,1986-09-29,
748,1986-10-03,
749,1986-10-10,
750,1986-10-17,
751,1986-10-24,
752,1986-10-31,
753,1986-11-07,
754,1986-11-14,
755,1986-11-21,
756,1986-11-28,
757,1986-12-10,
758,1987-01-09,
759,1987-01-16,
760,1987-01-23,
761,1987-01-30,
762,1987-02-06,
763,1987-02-13,
764,1987-02-20,
765,1987-02-27,
766,1987-03-06,
767,1987-03-11,
768,1987-03-18,
769,1987-05-01,
770,1987-05-08,
771,1987-05-15,
772,1987-05-22,
773,1987-05-29,? Paper says 1986 but pos typo
774,1987-06-05,
775,1987-06-12,
776,1987-06-24,
777,1987-08-14,
778,1987-10-05,
779,1987-10-09,
780,1987-10-16,
781,1987-10-23,
782,1987-10-30,
783,1987-11-06,
784,1987-11-13,
785,1987-11-20,
786,1987-11-27,
787,1987-12-04,
788,1987-12-16,
789,1988-01-15,
790,1988-01-22,
791,1988-01-29,
792,1988-02-05,
793,1988-02-12,
794,1988-02-19,
795,1988-02-26,
796,1988-03-04,
797,1988-03-09,
798,1988-03-11,
799,1988-03-23,
800,1988-04-29,
801,1988-05-06,
802,1988-05-13,
803,1988-05-20,
804,1988-05-27,
805,1988-06-03,
806,1988-06-10,
807,1988-06-22,
808,1988-08-12,
809,1988-08-26,
810,1988-09-09,
811,1988-10-03,
812,1988-10-07,
813,1988-10-14,
814,1988-10-21,
815,1988-10-28,
816,1988-11-04,
817,1988-11-19,
819,1988-11-25,
820,1988-12-02,
821,1988-12-14,
822,1988-12-16,
823,1989-01-13,? Paper says 1988 but pos typo
824,1989-01-20,
825,1989-01-27,
826,1989-02-03,
827,1989-02-10,
828,1989-02-17,
829,1989-02-24,
830,1989-03-03,
831,1989-03-10,
832,1989-03-22,
833,1989-04-28,
834,1989-05-05,
835,1989-05-12,
836,1989-05-19,
837,1989-05-27,
838,1989-06-02,
839,1989-06-09,
841,1989-06-21,
842,1989-09-22,
843,1989-10-02,
844,1989-10-06,
845,1989-10-13,
846,1989-10-20,
847,1989-10-27,
848,1989-11-03,
849,1989-11-10,
850,1989-11-22,
851,1989-11-24,
852,1989-12-01,
853,1989-12-13,
854,1990-01-12,
855,1990-01-19,
856,1990-01-26,
857,1990-02-02,
858,1990-02-09,
859,1990-02-16,
860,1990-02-23,
861,1990-03-01,
862,1990-03-02,
863,1990-03-07,
864,1990-03-09,
865,1990-03-21,
866,1990-04-28,
867,1990-05-04,
868,1990-05-11,
869,1990-05-18,
870,1990-05-25,
871,1990-06-01,
872,1990-06-08,
873,1990-06-22,
874,1990-08-17,
875,1990-09-07,
876,1990-10-01,
877,1990-10-05,
878,1990-10-12,
879,1990-10-19,
880,1990-10-26,
881,1990-11-02,
882,1990-11-09,
883,1990-11-16,
884,1990-11-23,
885,1990-11-30,
886,1990-12-05,
887,1990-12-14,
888,1991-01-11,
889,1991-01-18,
890,1991-01-25,
891,1991-02-01,
892,1991-02-08,
893,1991-02-15,
894,1991-02-22,
895,1991-02-26,
896,1991-03-01,
897,1991-03-04,
898,1991-03-08,
899,1991-03-13,
900,1991-03-20,
901,1991-04-26,
902,1991-05-03,
903,1991-05-10,
904,1991-05-17,
905,1991-05-24,
906,1991-05-31,
907,1991-06-07,? Paper says may but pos typo
908,1991-06-19,
909,1991-07-25,
910,1991-09-30,
911,1991-10-04,
912,1991-10-11,
913,1991-10-18,
914,1991-10-25,
915,1991-11-01,
916,1991-11-08,
917,1991-11-15,
918,1991-11-22,
919,1991-11-29,
920,1991-12-11,
921,1992-01-10,
922,1992-01-17,
923,1992-01-24,
924,1992-01-31,
925,1992-02-07,
926,1992-02-14,
927,1992-02-21,
928,1992-02-28,
929,1992-03-06,
930,1992-03-11,
931,1992-03-18,
932,1992-05-01,
933,1992-05-08,
934,1992-05-15,
935,1992-05-22,
936,1992-05-29,
937,1992-06-05,
938,1992-06-12,
939,1992-06-24,
940,1992-07-31,
941,1992-09-18,
942,1992-10-05,
